date,observed,trend,seasonal,resid
2019-01-31,0.6389668552654078,,-0.037990181217397175,
2019-02-28,0.6167352310234251,,-0.05722379958301825,
2019-03-31,0.5597383814059123,,-0.08314107954113868,
2019-04-30,0.5453363071943206,,-0.07593227311714108,
2019-05-31,0.5939885971363755,,-0.011508036787943862,
2019-06-30,0.7475047666070779,,0.043114884466308345,
2019-07-31,0.7674030882455232,0.6807161202550405,0.06262906979627171,0.02405789819421099
2019-08-31,0.7742128906486957,0.6839925770038867,0.05881863819606309,0.03140167544874589
2019-09-30,0.7372780141696219,0.6890382394383666,0.03533301813093294,0.012906756600322353
2019-10-31,0.7353941026779784,0.6953659253039277,0.02646091522813271,0.013567262145918024
2019-11-30,0.733570962524775,0.7032863963861392,0.03294901121399568,-0.0026644450753598448
2019-12-31,0.7076966589359153,0.7082687088131815,0.006489833214934606,-0.007061883092200829
2020-01-31,0.6605020297163202,0.7075783158425897,-0.037990181217397175,-0.009086104908872288
2020-02-29,0.6738350185448257,0.7041158721204581,-0.05722379958301825,0.02694294600738588
2020-03-31,0.6237344923120282,0.701216248819186,-0.08314107954113868,0.005659323033980854
2020-04-30,0.6332046570616713,0.6992416840177237,-0.07593227311714108,0.00989524616108868
2020-05-31,0.6962115532421016,0.6976256962194958,-0.011508036787943862,0.01009389381054969
2020-06-30,0.764857308750364,0.6967534818687946,0.043114884466308345,0.024988942415261006
2020-07-31,0.7334811148080355,0.6969932582611785,0.06262906979627171,-0.026141213249414777
2020-08-31,0.7250362147550258,0.6959151141274027,0.05881863819606309,-0.029697537568440013
2020-09-30,0.7168637308327583,0.6939380741455601,0.03533301813093294,-0.01240736144373468
2020-10-31,0.7084188307797487,0.6945880595786237,0.02646091522813271,-0.01263014402700774
2020-11-30,0.7217625272655355,0.696594540347121,0.03294901121399568,-0.007781024295581196
2020-12-31,0.6985719497783281,0.6964315734179948,0.006489833214934606,-0.0043494568546012325
2021-01-31,0.6753813722911208,0.6958180364356046,-0.037990181217397175,0.017553517072913423
2021-02-28,0.6330802167594057,0.6979207181122027,-0.05722379958301825,-0.007616701769778703
2021-03-31,0.6170403345332224,0.7004273175406854,-0.08314107954113868,-0.00024590346632437365
2021-04-30,0.6554984652340059,0.702531788332317,-0.07593227311714108,0.028898950018829986
2021-05-31,0.722073283513702,0.7037352248940105,-0.011508036787943862,0.029846095407635373
2021-06-30,0.7350843721797344,0.7045606693984743,0.043114884466308345,-0.012591181685048192
2021-07-31,0.7485291638013012,0.7046571267114705,0.06262906979627171,-0.018757032706441037
2021-08-31,0.7604525260001146,0.7046562860618235,0.05881863819606309,-0.0030223982577720077
2021-09-30,0.7416058058712546,0.7052737551276763,0.03533301813093294,0.0009990326126453203
2021-10-31,0.7341840547404079,0.7020633307894478,0.02646091522813271,0.0056598087228273974
2021-11-30,0.7248797807855221,0.6954161606712613,0.03294901121399568,-0.003485391099734947
2021-12-31,0.7152653643654734,0.6923412633412818,0.006489833214934606,0.016434267809257018
2022-01-31,0.6610029332158849,0.69305117454228,-0.037990181217397175,0.0059419398910020085
2022-02-28,0.6474384802431126,0.6930336144068332,-0.05722379958301825,0.01162866541929762
2022-03-31,0.6175013286299821,0.6919593057413633,-0.08314107954113868,0.008683102429757436
2022-04-30,0.5779872870197624,0.6900356711297442,-0.07593227311714108,-0.036116110992840664
